folder,start_frame,end_frame,label,commentary,username,source_file,duration_sec
2021.06.14.13.27.42_veh-35_03142_03404,321,617,,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,29.6
2021.07.16.18.19.22_veh-35_00440_00858,37,1899,move to the right lane and keep straight. stay behind the crosswalk until there is enough space for you to pass the light so you don't block the crosswalk. take the right at the street before the upcoming light. take a left at the sign. pull up behind the white car. move to the left lane and continue straight. ,Static Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,186.2
2021.06.09.17.23.18_veh-38_03095_03280,234,569,move over one lane to the right. ,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,33.5
2021.07.09.15.53.28_veh-38_00184_02293,201,2175,"move over one lane to the right. move over one lane to the right. take a right at the light. move t the left lane. take a left at the upcoming sign. pull up behind the white car. wait till the right lane frees up, move to the right lane, and continue straight. take a right at the stop sign. move to the left lane. move over one lane to the right. ",Static Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,197.4
2021.06.09.17.23.18_veh-38_04782_05228,115,2168,"move over to the right lane. move over one lane to the right. take a right at the light. move to the left lane. take a left at the sign. stop here, move a little bit out of the middle lane. pull back into the middle lane and stop right at the entrance door. continue straight. take a right at the stop sign. move to the left lane. ",Static Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,205.3
2021.10.11.08.31.07_veh-50_00791_00954,17,736,,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,71.9
2021.07.09.17.06.37_veh-35_00049_00237,96,872,take a left at the sign. stop at the entrance door. continue straight.,Static Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,77.6
2021.10.11.05.34.05_veh-50_00697_00766,100,318,take a left. stay at the right lane. ,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,21.8
2021.06.14.11.44.56_veh-35_00938_01134,405,710,take a right at the light. yield at the crosswalk for incoming pedestrians. move to the left lane. ,Both,Jeevan,./staging/labels - Jeevan Johnson.csv,30.5
2021.06.23.17.31.36_veh-16_00634_01421,150,2504,move to the left lane avoiding the car ahead. move to the left lane.,Static Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,235.4
2021.08.17.17.55.18_veh-43_00358_00673,56,1441,move to the left lane behind the bus. move to the left lane and take a left at the light. take a right at the stop sign. park behind the blue car. continue straight on the same road. ,Both,Jeevan,./staging/labels - Jeevan Johnson.csv,138.5
2021.06.23.17.31.36_veh-16_00398_00623,37,441,,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,40.4
2021.06.14.18.33.41_veh-35_03367_03508,34,608,,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,57.4
2021.06.14.13.27.42_veh-35_00691_00798,55,231,,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,17.6
2021.07.09.20.26.06_veh-35_03898_05974,389,1823,move to the right lane. ,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,143.4
2021.06.14.18.42.45_veh-12_03340_03403,72,272,,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,20.0
2021.06.09.14.58.55_veh-35_04695_05321,554,2091,pull up right behind the sign. move to the middle lane and continue straight. move to the left lane to avoid the car ahead. take a right at the stop sign. move to the left lane. move one lane to the right.,Static Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,153.7
2021.08.17.18.44.32_veh-08_00016_00564,390,1085,take a left at the light. take a left at the stop sign. move to the left lane. ,Static Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,69.5
2021.08.17.17.17.01_veh-45_00123_00191,21,274,,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,25.3
2021.06.09.18.23.43_veh-35_00555_00726,59,686,move to the right most lane.,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,62.7
2021.07.16.00.51.05_veh-17_03264_05261,60,2453,"move one lane to the right. after the light move to the rightmost lane. after the police car, take a right. pull up behind the car in front of you and wait till you can continue going straight on that lane. ",Both,Jeevan,./staging/labels - Jeevan Johnson.csv,239.3
2021.06.14.19.22.11_veh-38_01134_01389,658,1072,,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,41.4
2021.06.09.14.03.17_veh-12_01225_01437,636,954,yield for pedestrians at this right turn.,Dynamic Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,31.8
2021.06.14.18.33.41_veh-35_01363_01636,855,1100,,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,24.5
2021.07.09.16.12.19_veh-26_06964_07035,65,239,,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,17.4
2021.10.11.07.47.13_veh-50_00736_00843,151,499,take a left. take another left at this light.,Static Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,34.8
2021.08.17.13.10.50_veh-08_01060_01340,327,841,pull up behind the white truck for a left turn. ,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,51.4
2021.06.14.17.26.26_veh-38_05760_05896,18,659,"keep straight. after the light, move over one lane to the right and keep straight.",Static Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,64.1
2021.07.16.22.40.23_veh-38_00818_03032,198,1290,move to the left lane. move one lane to the right. ,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,109.2
2021.06.14.18.42.45_veh-12_05000_05079,76,261,"after the light, move to the right lane.  ",Static Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,18.5
2021.06.14.18.42.45_veh-12_03445_03902,1038,1514,"keep straight. before the light, turn right on that street. take a left at the diamond center sign. stop behind the car with the guy at the door. turn to the lane on the left and continue straight. ",Both,Jeevan,./staging/labels - Jeevan Johnson.csv,47.6
2021.06.09.14.58.55_veh-35_01785_01883,19,472,pull up behind the grey car and move forward to get as close to the entrance as possible. ,Dynamic Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,45.3
2021.06.09.17.23.18_veh-38_05239_05412,98,780,,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,68.2
2021.06.23.15.18.10_veh-26_00016_00143,332,604,,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,27.2
2021.07.16.20.45.29_veh-35_02509_02649,201,560,take a right. turn to the left lane. ,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,35.9
2021.08.17.16.48.45_veh-43_02070_02652,280,1336,take a left at the stop sign. take a right at the stop sign. move to the left lane and take a left at the light.  ,Static Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,105.6
2021.06.14.18.13.35_veh-26_01537_01717,443,632,follow the white car in front of you. yield for pedestrians before making the right turn. ,Dynamic Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,18.9
2021.06.09.14.50.36_veh-26_03310_03392,168,336,,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,16.8
2021.07.16.18.49.56_veh-26_00015_00235,315,959,take a right at the stop sign. move to the left lane. move one lane to the right. ,Static Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,64.4
2021.07.16.21.17.55_veh-26_03860_03930,78,317,move one lane to the right.,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,23.9
2021.06.09.19.40.26_veh-12_01241_01510,585,831,,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,24.6
2021.07.16.16.01.30_veh-38_00016_00333,234,1412,take a right at the stop sign. move one lane to the left. keep straight.,Static Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,117.8
2021.08.17.13.10.50_veh-08_00726_01027,649,1424,"take a right. take a right at the light. take a right at the light. park near the bench. get back on the road and keep straight. after the stop sign, pull up a little bit to the right and reverse back onto the street to continue straight. ",Static Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,77.5
2021.06.09.14.03.17_veh-12_03798_04118,763,1533,move one lane to the right. move to the right lane most lane.  ,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,77.0
2021.06.23.14.54.32_veh-16_00862_01000,23,383,,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,36.0
2021.06.14.13.27.42_veh-35_01160_01331,1,850,move one lane to the right. ,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,84.9
2021.08.17.14.32.33_veh-08_01262_01528,835,1252,"at the stop sign, take a left. ",Static Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,41.7
2021.06.09.18.23.43_veh-35_02086_02333,228,1116,"take a right at the stop light. pull into the left entrance and stop by the walk way towards the door. continue straight on the road. before making it to the light, ensure you are on the second to last left lane.",Static Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,88.8
2021.07.09.01.37.16_veh-26_02856_02932,187,345,wait for all pedestrians to pass before taking your left. ,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,15.8
2021.07.16.01.22.41_veh-14_02003_02615,387,1089,turn left where the diamond sign is. pull up behind the black car and follow it. stop following the black car and move to the left lane. ,Both,Jeevan,./staging/labels - Jeevan Johnson.csv,70.2
2021.06.14.18.42.45_veh-12_02233_02300,89,263,move one lane to the right. ,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,17.4
2021.06.14.18.42.45_veh-12_03913_04017,106,451,"after the police car, move one lane to the right. ",Static Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,34.5
2021.06.23.15.56.12_veh-16_00066_00818,913,2222,,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,130.9
2021.06.09.18.23.43_veh-35_00555_00726,291,744,"after the light, move to the rightmost lane. ",Static Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,45.3
2021.06.14.19.22.11_veh-38_01480_01860,109,1821,keep straight. move to the right one lane. follow the white car until it turns right. keep straight. turn left where the diamond sign is. ,Both,Jeevan,./staging/labels - Jeevan Johnson.csv,171.2
2021.06.14.18.33.41_veh-35_00654_00887,466,762,turn to the left lane. ,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,29.6
2021.06.14.18.13.35_veh-26_01537_01717,24,789,follow the white car in front of you until it turns right.,Dynamic Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,76.5
2021.06.09.14.50.36_veh-26_03061_03152,0,440,keep straight. move one lane to the right. ,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,44.0
2021.06.09.17.37.09_veh-12_02445_02566,122,487,keep straight. move one lane to the right. ,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,36.5
2021.06.09.14.50.36_veh-26_03874_04112,123,468,,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,34.5
2021.07.09.02.42.50_veh-35_02651_02770,180,373,,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,19.3
2021.06.14.16.48.02_veh-12_01732_01853,81,587,follow the white car until it turns right. turn left where the diamond sign is. pull up behind the white car. ,Both,Jeevan,./staging/labels - Jeevan Johnson.csv,50.6
2021.10.11.02.57.41_veh-50_00145_00308,44,274,make a right.,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,23.0
2021.06.09.14.58.55_veh-35_03312_03379,21,308,"turn right, right before the upcoming light.",Static Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,28.7
2021.06.23.18.23.38_veh-26_01438_01758,9,687,,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,67.8
2021.06.14.11.44.56_veh-35_04178_05084,938,1435,move one lane to the right.,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,49.7
2021.06.14.19.22.11_veh-38_02466_02675,230,667,,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,43.7
2021.07.09.17.06.37_veh-35_00769_00907,114,598,keep straight. move one lane to the right. keep straight.,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,48.4
2021.06.14.19.22.11_veh-38_02686_02846,529,714,turn left at the diamond sign.,Static Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,18.5
2021.06.09.17.37.09_veh-12_03830_04329,1729,2351,,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,62.2
2021.05.12.23.36.44_veh-35_00152_00504,638,2351,Pass the Aria,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,171.3
2021.06.09.17.23.18_veh-38_02094_02305,854,1041,wait at the red light,Static Referential,Marcus,./staging/labels - Yash Tandon.csv,18.7
2021.06.09.14.50.36_veh-26_03310_03392,79,296,wait for the people to cross the crosswalk,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,21.7
2021.06.09.17.23.18_veh-38_02094_02305,715,922,shift to the right lane,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,20.7
2021.10.01.17.52.06_veh-28_00675_00737,92,299,take a right,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,20.7
2021.10.01.17.52.06_veh-28_01141_01264,265,562,take a right,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,29.7
2021.10.01.14.20.36_veh-28_00243_00388,546,717,,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,17.1
2021.10.01.18.26.05_veh-28_01081_01159,55,367,Wait for the stopped vehicle,Static Referential,Marcus,./staging/labels - Yash Tandon.csv,31.2
2021.09.15.14.00.15_veh-28_00288_00408,69,313,take a right then a left while watching out for the cyclist,Dynamic Referential,Marcus,./staging/labels - Yash Tandon.csv,24.4
2021.09.15.11.49.23_veh-28_01869_02000,429,587,take a left at the three way intersection,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,15.8
2021.09.15.11.49.23_veh-28_01869_02000,35,446,Take 2 lefts and a right to turn around,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,41.1
2021.10.06.13.21.47_veh-28_00441_00515,119,339,,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,22.0
2021.10.06.17.08.46_veh-28_00016_00116,333,488,,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,15.5
2021.09.15.11.49.23_veh-28_01869_02000,256,481,Take a left then a right,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,22.5
2021.09.15.13.52.55_veh-39_01385_01446,115,286,,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,17.1
2021.10.01.13.28.54_veh-28_01098_01337,227,497,Prepare to turn left,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,27.0
2021.10.01.19.16.42_veh-28_00094_00216,320,526,Take a right,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,20.6
2021.09.15.13.12.49_veh-39_00022_00104,127,359,Watch out for the pedestrian,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,23.2
2021.10.06.18.52.07_veh-28_01297_01462,432,688,Wait for the hazards to clear then go forward,Dynamic Referential,Marcus,./staging/labels - Yash Tandon.csv,25.6
2021.09.15.13.16.40_veh-28_02198_02321,302,458,,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,15.6
2021.10.01.18.26.05_veh-28_00005_00413,37,1645,Make a big loop by turning right and go on both bridges,Static Referential,Marcus,./staging/labels - Yash Tandon.csv,160.8
2021.10.01.19.16.42_veh-28_01731_01935,7,720,Take me to eastport Park,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,71.3
2021.09.15.14.27.22_veh-39_01491_01763,926,1263,Take a left at iron street park,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,33.7
2021.10.06.14.31.13_veh-28_00223_00350,439,595,Go into the dead end,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,15.6
2021.10.06.17.08.46_veh-28_01626_01702,39,209,Go toward summer street bridge,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,17.0
2021.09.15.11.49.23_veh-28_00280_00506,524,883,,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,35.9
2021.09.15.15.34.53_veh-28_01820_02314,768,2308,Make a big circle around the river starting at the hood milk bottle,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,154.0
2021.09.15.16.51.15_veh-28_01225_01302,0,353,Go towards hampton inn & homewood suites,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,35.3
2021.09.15.16.51.15_veh-28_01225_01302,7,355,Go to hampton inn and homewood suites,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,34.8
2021.10.06.18.52.07_veh-28_00442_00578,103,630,Go to the residence inn mariott,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,52.7
2021.10.01.18.26.05_veh-28_01081_01159,157,351,Do not pass the stalled vehicle. Wait for it to move then go.,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,19.4
2021.10.01.14.20.36_veh-28_01415_01480,68,233,,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,16.5
2021.09.15.15.34.53_veh-28_01533_01596,69,226,,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,15.7
2021.09.15.14.27.22_veh-39_00665_00745,190,393,,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,20.3
2021.10.06.13.21.47_veh-28_00441_00515,174,338,,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,16.4
2021.09.15.16.17.26_veh-28_01085_01182,28,464,Take the summer street bridge,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,43.6
2021.09.15.16.17.26_veh-28_00586_00712,8,215,,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,20.7
2021.09.15.11.49.23_veh-28_01108_01493,1423,1637,,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,21.4
2021.09.15.16.51.15_veh-28_01468_01533,24,222,Take a right,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,19.8
2021.10.01.19.16.42_veh-28_00392_00906,895,1294,,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,39.9
2021.10.01.14.20.36_veh-28_01491_01630,478,634,Go to the pier,Static Referential,Marcus,./staging/labels - Yash Tandon.csv,15.6
2021.10.06.14.31.13_veh-28_01388_01849,1501,1932,Take a left then left again,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,43.1
2021.09.15.13.12.49_veh-39_00022_00104,9,290,Leave the pier and go back to the main road,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,28.1
2021.09.15.11.49.23_veh-28_00280_00506,819,977,,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,15.8
2021.09.15.11.49.23_veh-28_00520_00669,194,469,Go to the institute of contemporary art,Static Referential,Marcus,./staging/labels - Yash Tandon.csv,27.5
2021.10.06.13.21.47_veh-28_00441_00515,65,293,,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,22.8
2021.09.15.13.12.49_veh-39_00135_00467,776,1311,Go to the institute of contemporary art,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,53.5
2021.09.15.11.49.23_veh-28_00520_00669,261,619,Take a detour to the institute of contemporary art then return to the main road,Non-Referential,Marcus,./staging/labels - Yash Tandon.csv,35.8
2021.10.01.17.52.06_veh-28_01141_01264,418,592,Keep going straight,Non-Referential,ytandon,./staging/labels - Yash Tandon.csv,17.4
2021.10.01.19.16.42_veh-28_02903_03140,387,1111,"Take the right from the roundabout and keep straight on the road, going past Boston Fish Pier",Static Referential,ytandon,./staging/labels - Yash Tandon.csv,72.4
2021.08.17.17.17.01_veh-45_02098_02251,541,723,Take a right from the signal and keep straight towards Citgo gas station,Static Referential,ytandon,./staging/labels - Yash Tandon.csv,18.2
2021.09.15.14.50.05_veh-28_00389_00508,383,563,Take left from the signal right before The Envoy Hotel,Static Referential,ytandon,./staging/labels - Yash Tandon.csv,18.0
2021.08.17.13.15.12_veh-45_01049_01467,442,1538,"Drive across Tunnel Park, then make a left in the middle of it. Then navigate to the road with the Goodwill Employment Training Center.",Static Referential,ytandon,./staging/labels - Yash Tandon.csv,109.6
2021.08.17.18.44.32_veh-08_00586_00848,944,1194,,Non-Referential,ytandon,./staging/labels - Yash Tandon.csv,25.0
2021.10.06.18.52.07_veh-28_00839_00968,71,337,Drive towards Pier 10 Park,Static Referential,ytandon,./staging/labels - Yash Tandon.csv,26.6
2021.10.01.18.26.05_veh-28_00005_00413,1150,1894,"Take a right at the intersection near The Envoy Hotel, then drive towards Residence Inn Marriott",Static Referential,ytandon,./staging/labels - Yash Tandon.csv,74.4
2021.08.17.15.02.08_veh-45_01756_01966,284,829,"Take a right at the light, then prepare to take a left past the McGowan Institute for Regenerative Medicine",Static Referential,ytandon,./staging/labels - Yash Tandon.csv,54.5
2021.08.17.13.15.12_veh-45_02124_02293,328,717,,Non-Referential,ytandon,./staging/labels - Yash Tandon.csv,38.9
2021.07.16.21.17.55_veh-26_01392_01488,17,289,,Non-Referential,ytandon,./staging/labels - Yash Tandon.csv,27.2
2021.10.01.19.16.42_veh-28_00094_00216,372,586,"Go past Dry Dock Plaza Park to take the first right, then drive straight towards the dead end",Static Referential,ytandon,./staging/labels - Yash Tandon.csv,21.4
2021.07.16.21.17.55_veh-26_05156_05225,2,219,Keep straight,Non-Referential,ytandon,./staging/labels - Yash Tandon.csv,21.7
2021.08.17.14.45.12_veh-42_00542_00803,822,1245,Take a left at the intersection with construction work to go in the direction towards Prince of Peace Roman Catholic Church,Static Referential,ytandon,./staging/labels - Yash Tandon.csv,42.3
2021.09.15.14.50.05_veh-28_00083_00152,131,281,,Non-Referential,ytandon,./staging/labels - Yash Tandon.csv,15.0
2021.10.06.14.31.13_veh-28_00981_01226,238,730,"Take a complete loop of the entire block, then prepare to turn left at the signal",Static Referential,ytandon,./staging/labels - Yash Tandon.csv,49.2
2021.10.11.05.34.05_veh-50_00442_00556,349,558,,Non-Referential,ytandon,./staging/labels - Yash Tandon.csv,20.9
2021.10.01.17.52.06_veh-28_01034_01107,193,357,,Non-Referential,ytandon,./staging/labels - Yash Tandon.csv,16.4
2021.10.11.02.57.41_veh-50_00838_01005,8,373,"Take a round of the drop-off loop ahead, and come back",Static Referential,ytandon,./staging/labels - Yash Tandon.csv,36.5
2021.08.17.18.44.32_veh-08_00586_00848,584,956,"Pull out of the curb, take the second left, then the first right.",Non-Referential,ytandon,./staging/labels - Yash Tandon.csv,37.2
2021.08.17.17.17.01_veh-45_02098_02251,185,705,"Keep going straight, then take the third right",Non-Referential,ytandon,./staging/labels - Yash Tandon.csv,52.0
2021.08.17.13.15.12_veh-45_00565_00643,181,364,Take the right to head towards Citgo,Static Referential,ytandon,./staging/labels - Yash Tandon.csv,18.3
2021.07.16.16.27.22_veh-26_00016_01515,555,1252,Exit Luxor Las Vegas and take the first left to head towards the direction of the Statue of Liberty,Static Referential,ytandon,./staging/labels - Yash Tandon.csv,69.7
2021.07.16.23.22.27_veh-14_01631_03833,2123,2530,Exit the drop-off loop,Non-Referential,ytandon,./staging/labels - Yash Tandon.csv,40.7
2021.09.15.13.16.40_veh-28_00088_00157,87,270,,Non-Referential,ytandon,./staging/labels - Yash Tandon.csv,18.3
2021.08.17.18.44.32_veh-08_00586_00848,805,1275,"Take a left, then the first right, then the first left",Non-Referential,ytandon,./staging/labels - Yash Tandon.csv,47.0
