folder,start_frame,end_frame,label,commentary,username
2021.08.17.13.15.12_veh-45_02124_02293 2,34,771,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,293,823,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,430,762,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,90,459,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,10,453,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,104,377,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,10,608,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,340,719,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,49,728,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,279,525,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,146,751,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,241,641,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,68,750,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,259,594,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,63,757,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,140,516,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,461,829,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,272,759,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,119,830,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,262,801,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,129,594,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,310,768,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,153,734,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,76,840,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,85,591,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,312,822,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,323,687,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,209,760,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,74,695,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,372,583,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,1,824,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,28,392,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,357,799,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,31,744,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,118,673,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,100,773,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,198,696,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,30,823,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,127,807,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,580,789,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,65,423,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,109,726,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,545,820,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,150,809,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,544,806,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,205,669,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,389,680,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,1,332,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,190,782,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,262,591,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,299,684,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,505,777,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,455,833,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,70,662,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,56,836,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,118,660,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,345,524,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,18,800,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,113,679,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,69,697,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,189,640,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,129,333,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,35,223,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,67,766,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,302,797,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,155,832,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,152,636,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,60,780,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,185,366,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,166,745,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,340,565,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,5,831,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,104,470,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,304,815,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,59,542,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,166,829,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,291,718,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,141,383,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,366,777,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,17,636,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,493,685,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,421,774,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,315,704,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,129,765,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,70,792,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,233,747,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,67,340,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,61,477,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,111,837,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,351,535,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,123,823,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,431,827,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,40,747,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,191,789,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,12,823,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,176,703,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,165,824,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,71,818,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,78,456,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,121,353,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,544,729,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,61,386,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,165,774,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,48,783,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,530,822,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,72,495,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,131,804,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,27,838,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,10,823,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,83,594,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,115,404,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,187,573,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,43,793,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,423,732,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,70,768,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,206,725,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,369,686,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,57,233,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,5,803,,Non-Referential,Marcus
